Player,Position,MP_per_game,PTS_per_game,AST_per_game,TRB_per_game,FG%_totals,FT%_totals
Kareem Abdul-Jabbar,Center,36.8,24.6,3.6,11.2,0.559,0.721
Ray Allen,ShootingGuard,35.6,18.9,3.4,4.1,0.452,0.894
Tiny Archibald,PointGuard,35.6,18.8,7.4,2.3,0.467,0.81
Paul Arizin,SmallForward,38.4,22.8,2.3,8.6,0.421,0.81
Charles Barkley,PowerForward,36.7,22.1,3.9,11.7,0.541,0.735
Rick Barry,SmallForward,37.4,24.8,4.9,6.7,0.456,0.893
Elgin Baylor,SmallForward,40.0,27.4,4.3,13.5,0.431,0.78
Zelmo Beaty,Center,33.4,17.1,1.5,10.9,0.494,0.771
Walt Bellamy,Center,37.3,20.1,2.4,13.7,0.516,0.632
Dave Bing,PointGuard,36.4,20.3,6.0,3.8,0.441,0.775
Larry Bird,SmallForward,38.4,24.3,6.3,10.0,0.496,0.886
Chris Bosh,Center,35.8,19.2,2.0,8.5,0.494,0.799
Bill Bradley,SmallForward,30.7,12.4,3.4,3.2,0.448,0.84
Carl Braun,PointGuard,29.8,13.5,3.7,3.4,0.383,0.804
Kobe Bryant,ShootingGuard,36.1,25.0,4.7,5.2,0.447,0.837
Al Cervi,PointGuard,12.4,7.9,3.2,1.8,0.359,0.839
Wilt Chamberlain,Center,45.8,30.1,4.4,22.9,0.54,0.511
Maurice Cheeks,PointGuard,31.6,11.1,6.7,2.8,0.523,0.793
Chuck Cooper,SmallForward,23.2,6.7,1.8,5.9,0.339,0.743
Bob Cousy,PointGuard,35.3,18.4,7.5,5.2,0.375,0.803
Dave Cowens,Center,38.6,17.6,3.8,13.6,0.46,0.783
Billy Cunningham,SmallForward,34.9,21.2,4.3,10.4,0.452,0.73
Louie Dampier,PointGuard,33.5,15.9,4.9,2.6,0.444,0.82
Bob Dandridge,SmallForward,35.2,18.5,3.4,6.8,0.484,0.78
Mel Daniels,Center,35.2,18.4,1.8,14.9,0.468,0.657
Adrian Dantley,SmallForward,35.8,24.3,3.0,5.7,0.54,0.818
Bob Davies,PointGuard,31.3,14.3,4.9,2.9,0.378,0.759
Dave DeBusschere,PowerForward,35.7,16.1,2.9,11.0,0.432,0.699
Vlade Divac,Center,29.8,11.8,3.1,8.2,0.495,0.692
Clyde Drexler,ShootingGuard,34.6,20.4,5.6,6.1,0.472,0.788
Joe Dumars,ShootingGuard,34.5,16.1,4.5,2.2,0.46,0.843
Tim Duncan,Center,34.0,19.0,3.0,10.8,0.506,0.696
Alex English,SmallForward,31.9,21.5,3.6,5.5,0.507,0.832
Julius Erving,SmallForward,36.4,24.2,4.2,8.5,0.506,0.777
Walt Frazier,PointGuard,37.5,18.9,6.1,5.9,0.49,0.786
Joe Fulks,PowerForward,23.4,16.4,1.2,5.3,0.302,0.766
Harry Gallatin,PowerForward,31.9,13.0,1.8,11.9,0.398,0.773
Kevin Garnett,PowerForward,34.5,17.8,3.7,10.0,0.497,0.789
George Gervin,ShootingGuard,33.6,25.1,2.6,5.3,0.504,0.841
Artis Gilmore,Center,35.5,18.8,2.3,12.3,0.582,0.698
Manu Ginóbili,ShootingGuard,25.4,13.3,3.8,3.5,0.447,0.827
Tom Gola,ShootingGuard,32.3,11.3,4.2,8.0,0.431,0.76
Gail Goodrich,ShootingGuard,32.5,18.6,4.7,3.2,0.456,0.807
Hal Greer,ShootingGuard,35.5,19.2,4.0,5.0,0.452,0.801
Richie Guerin,ShootingGuard,32.4,17.3,5.0,5.0,0.416,0.78
Cliff Hagan,SmallForward,28.7,17.7,3.2,6.6,0.454,0.799
Tim Hardaway,PointGuard,35.3,17.7,8.2,3.3,0.431,0.782
John Havlicek,SmallForward,36.6,20.8,4.8,6.3,0.439,0.815
Connie Hawkins,SmallForward,36.1,18.7,4.1,8.8,0.479,0.779
Elvin Hayes,PowerForward,38.4,21.0,1.8,12.5,0.452,0.67
Spencer Haywood,PowerForward,34.8,20.3,1.8,10.3,0.469,0.796
Tom Heinsohn,PowerForward,29.4,18.6,2.0,8.8,0.405,0.79
Grant Hill,SmallForward,33.9,16.7,4.1,6.0,0.483,0.769
Bob Houbregs,Center,23.9,9.3,1.8,5.5,0.404,0.721
Bailey Howell,PowerForward,32.2,18.7,2.0,9.9,0.48,0.762
Lou Hudson,ShootingGuard,33.5,20.2,2.7,4.4,0.489,0.797
Dan Issel,Center,34.3,22.6,2.4,9.1,0.499,0.793
Allen Iverson,ShootingGuard,41.1,26.7,6.2,3.7,0.425,0.78
Buddy Jeannette,Guard,,7.2,2.1,,0.341,0.781
Dennis Johnson,PointGuard,32.7,14.1,5.0,3.9,0.445,0.797
Gus Johnson,PowerForward,33.1,16.2,2.5,12.1,0.44,0.7
Magic Johnson,PointGuard,36.7,19.5,11.2,7.2,0.52,0.848
Neil Johnston,Center,35.5,19.4,2.5,11.3,0.444,0.768
K.C. Jones,PointGuard,25.9,7.4,4.3,3.5,0.387,0.647
Sam Jones,ShootingGuard,27.9,17.7,2.5,4.9,0.456,0.803
Michael Jordan,ShootingGuard,38.3,30.1,5.3,6.2,0.497,0.835
Jason Kidd,PointGuard,36.0,12.6,8.7,6.3,0.4,0.785
Bernard King,SmallForward,33.7,22.5,3.3,5.8,0.518,0.73
Toni Kukoč,SmallForward,26.3,11.6,3.7,4.2,0.447,0.729
Bob Lanier,Center,33.5,20.1,3.1,10.1,0.514,0.767
Clyde Lovellette,Center,27.1,17.0,1.6,9.5,0.443,0.757
Jerry Lucas,PowerForward,38.8,17.0,3.3,15.6,0.499,0.783
Ed Macauley,Center,35.7,17.5,3.2,7.5,0.436,0.761
Karl Malone,PowerForward,37.2,25.0,3.6,10.1,0.516,0.742
Moses Malone,Center,34.0,20.3,1.3,12.3,0.495,0.76
Pete Maravich,ShootingGuard,37.0,24.2,5.4,4.2,0.441,0.82
Šarūnas Marčiulionis,ShootingGuard,22.4,12.8,2.2,2.3,0.505,0.768
Slater Martin,PointGuard,35.9,9.8,4.2,3.4,0.364,0.762
Bob McAdoo,Center,33.2,22.1,2.3,9.4,0.503,0.754
George McGinnis,PowerForward,33.5,20.2,3.7,11.0,0.458,0.664
Tracy McGrady,ShootingGuard,32.7,19.6,4.4,5.6,0.435,0.746
Dick McGuire,PointGuard,28.3,8.0,5.7,4.2,0.389,0.644
Kevin McHale,PowerForward,31.0,17.9,1.7,7.3,0.554,0.798
George Mikan,Center,34.4,23.1,2.8,13.4,0.404,0.782
Vern Mikkelsen,PowerForward,32.5,14.4,2.2,9.4,0.403,0.766
Reggie Miller,ShootingGuard,34.3,18.2,3.0,3.0,0.471,0.888
Yao Ming,Center,32.5,19.0,1.6,9.2,0.524,0.833
Sidney Moncrief,ShootingGuard,30.2,15.6,3.6,4.7,0.502,0.831
Earl Monroe,ShootingGuard,32.0,18.8,3.9,3.0,0.464,0.807
Alonzo Mourning,Center,31.0,17.1,1.1,8.5,0.527,0.692
Chris Mullin,SmallForward,32.6,18.2,3.5,4.1,0.509,0.865
Calvin Murphy,PointGuard,30.5,17.9,4.4,2.1,0.482,0.892
Dikembe Mutombo,Center,30.8,9.8,1.0,10.3,0.518,0.684
Steve Nash,PointGuard,31.3,14.3,8.5,3.0,0.49,0.904
Shaquille O'Neal,Center,34.7,23.7,2.5,10.9,0.582,0.527
Hakeem Olajuwon,Center,35.7,21.8,2.5,11.1,0.512,0.712
Robert Parish,Center,28.4,14.5,1.4,9.1,0.537,0.721
Gary Payton,PointGuard,35.3,16.3,6.7,3.9,0.466,0.729
Dražen Petrović,ShootingGuard,26.4,15.4,2.4,2.3,0.506,0.841
Bob Pettit,PowerForward,38.8,26.4,3.0,16.2,0.436,0.761
Andy Phillip,PointGuard,32.2,9.1,5.4,4.4,0.368,0.695
Paul Pierce,SmallForward,34.2,19.7,3.5,5.6,0.445,0.806
Scottie Pippen,SmallForward,34.9,16.1,5.2,6.4,0.473,0.704
Jim Pollard,SmallForward,35.4,13.2,3.2,7.8,0.36,0.75
Dino Radja,PowerForward,32.6,16.7,1.6,8.4,0.497,0.735
Frank Ramsey,ShootingGuard,24.6,13.4,1.8,5.5,0.399,0.804
Willis Reed,Center,35.5,18.7,1.8,12.9,0.476,0.747
Mitch Richmond,ShootingGuard,35.2,21.0,3.5,3.9,0.455,0.85
Arnie Risen,Center,28.3,12.0,1.7,9.7,0.381,0.699
Oscar Robertson,PointGuard,42.2,25.7,9.5,7.5,0.485,0.838
David Robinson,Center,34.7,21.1,2.5,10.6,0.518,0.736
Guy Rodgers,PointGuard,32.1,11.7,7.8,4.3,0.378,0.721
Dennis Rodman,PowerForward,31.7,7.3,1.8,13.1,0.521,0.584
Bill Russell,Center,42.3,15.1,4.3,22.5,0.44,0.561
Arvydas Sabonis,Center,24.2,12.0,2.1,7.3,0.5,0.786
Ralph Sampson,Center,29.8,15.4,2.3,8.8,0.486,0.661
Dolph Schayes,PowerForward,34.4,18.5,3.1,12.1,0.38,0.849
Charlie Scott,ShootingGuard,35.6,20.7,4.9,4.0,0.448,0.773
Bill Sharman,ShootingGuard,32.0,17.8,3.0,3.9,0.426,0.883
Jack Sikma,Center,33.4,15.6,3.2,9.8,0.464,0.849
John Stockton,PointGuard,31.8,13.1,10.5,2.7,0.515,0.826
Maurice Stokes,PowerForward,37.3,16.4,5.3,17.3,0.351,0.698
Isiah Thomas,PointGuard,36.3,19.2,9.3,3.6,0.452,0.759
David Thompson,ShootingGuard,32.8,22.7,3.3,4.1,0.505,0.781
Nate Thurmond,Center,37.2,15.0,2.7,15.0,0.421,0.667
Jack Twyman,SmallForward,31.8,19.2,2.3,6.6,0.45,0.778
Wes Unseld,Center,36.4,10.8,3.9,14.0,0.509,0.633
Chet Walker,SmallForward,32.4,18.2,2.1,7.1,0.47,0.796
Ben Wallace,Center,29.5,5.7,1.3,9.6,0.474,0.414
Bill Walton,Center,28.3,13.3,3.4,10.5,0.521,0.66
Bobby Wanzer,ShootingGuard,32.5,12.2,3.2,4.5,0.393,0.802
Chris Webber,PowerForward,37.1,20.7,4.2,9.8,0.479,0.649
Jerry West,PointGuard,39.2,27.0,6.7,5.8,0.474,0.814
Paul Westphal,ShootingGuard,25.5,15.6,4.4,1.9,0.504,0.82
Jo Jo White,PointGuard,35.8,17.2,4.9,4.0,0.444,0.834
Lenny Wilkens,PointGuard,35.3,16.5,6.7,4.7,0.432,0.774
Jamaal Wilkes,SmallForward,32.9,17.7,2.5,6.2,0.499,0.759
Dominique Wilkins,SmallForward,35.5,24.8,2.5,6.7,0.461,0.811
James Worthy,SmallForward,32.4,17.6,3.0,5.1,0.521,0.769
George Yardley,SmallForward,33.4,19.2,1.7,8.9,0.422,0.78
